DisNo.,Country,Location,Year,Disaster_type,Subtype,Deaths,Total_affected,Total_damage_000usd,City,Damage_million_usd,Decade
2006-0431-ZAF,South Africa,"Eastern Cape, Western Cape provinces",2006,Flood,Riverine flood,6.0,3000.0,145000.0,Durban,145.0,2000
2006-0445-NGA,Nigeria,Zamfara province,2006,Flood,Flash flood,0.0,10000.0,,Lagos,0.0,2000
2007-0306-ZAF,South Africa,"Cape Flats area (City of Cape Town district, Western Cape province)",2007,Flood,Riverine flood,0.0,38000.0,,Durban,0.0,2000
2009-0375-NGA,Nigeria,"Zamfara, Kaduna, Niger, Benue, Adamawa, Nassarawa, Sokoto, Jigawa, Abuja provinces",2009,Flood,Riverine flood,0.0,150000.0,,Lagos,0.0,2000
2010-0509-NGA,Nigeria,"Jigawa, Sokoto, Kebbi, Niger, Katsina provinces",2010,Flood,Riverine flood,40.0,1500200.0,30000.0,Lagos,30.0,2010
2011-0214-NGA,Nigeria,"Katsina, Lagos provinces",2011,Flood,Riverine flood,20.0,26965.0,,Lagos,0.0,2010
2012-0366-NGA,Nigeria,"Nassarrawa, Niger, Plateau, Adamawa, Bauchi, Gombe, Taraba, Yobe, Jigawa, Kaduna, Kano, Katsina, Kebbi, Anambra, Ebonyi, Cross River, Lagos, Benue",2012,Flood,Riverine flood,363.0,7000867.0,500000.0,Lagos,500.0,2010
2014-0099-ZAF,South Africa,"Gauteng, KwaZulu-Natal, Limpopo, Mpumalanga, North West provinces",2014,Flood,Riverine flood,32.0,7185.0,85000.0,Durban,85.0,2010
2018-0238-NGA,Nigeria,"Jibia district; Yobe, Edo, Ogun, Katsina, Ondo, Baucho, Niger, Abuja states",2018,Flood,Flood (General),101.0,15872.0,,Lagos,0.0,2010
2018-0365-NGA,Nigeria,"Kogi, Delta, Anambra, Niger",2018,Flood,Flood (General),199.0,1922332.0,275000.0,Lagos,275.0,2010
2019-0176-ZAF,South Africa,"KwaZulu-Natal, Eastern Cape, Free state provinces",2019,Flood,Flood (General),73.0,1000.0,50000.0,Durban,50.0,2010
2019-0415-NGA,Nigeria,"Cross River, Kogi, Niger,Taraba States",2019,Flood,Flood (General),12.0,18640.0,,Lagos,0.0,2010
2019-0435-NGA,Nigeria,"Borno, Jigawa, Kano, Yobe states",2019,Flood,Flood (General),12.0,52500.0,,Lagos,0.0,2010
2019-0607-ZAF,South Africa,Pretoria and Gauteng Province,2019,Flood,Flood (General),2.0,3500.0,,Durban,0.0,2010
2020-0050-ZAF,South Africa,Johannesburg and Gauteng Province,2020,Flood,Flash flood,3.0,200.0,,Durban,0.0,2020
2022-0788-ZAF,South Africa,"Soweto, Erkhuleni, Johannesburg, Vereeniging, Brakpan (Gauteng Province); Rustenburg, Bojanala (North West Province); Eastern Cape, Free State, Limpopo, Mpumalanga provinces",2022,Flood,Flash flood,17.0,56177.0,,Durban,0.0,2020
2020-0321-NGA,Nigeria,"Suleja City, Gwagwalada area, Abuja",2020,Flood,Flood (General),30.0,0.0,,Lagos,0.0,2020
2020-0455-NGA,Nigeria,"Jigawa, Kebbi, Kwara, Sokoto, Zamfara",2020,Flood,Flood (General),155.0,193425.0,100000.0,Lagos,100.0,2020
2022-0035-ZAF,South Africa,Ladysmith and Msinga (KwaZulu-Natal Province),2022,Flood,Flood (General),1.0,100.0,105000.0,Durban,105.0,2020
2022-0313-ZAF,South Africa,Durban (KwaZulu-Natal province),2022,Flood,Flood (General),0.0,200.0,,Durban,0.0,2020
2023-0080-ZAF,South Africa,"Mpumalanga, the Eastern Cape, Gauteng, KwaZulu-Natal, Limpopo, the Northern Cape, and North West",2023,Flood,Flood (General),17.0,1000.0,,Durban,0.0,2020
2024-0657-NGA,Nigeria,Maiduguri (Borno state),2024,Flood,Flood (General),37.0,414058.0,,Lagos,0.0,2020
1999-0430-NGA,Nigeria,"Oguta town (Imo State), Rivers state",1999,Flood,Riverine flood,50.0,2000.0,,Lagos,0.0,1990
2000-0620-NGA,Nigeria,Lagos province,2000,Flood,Flash flood,0.0,500.0,4805.0,Lagos,4.805,2000
2000-0628-NGA,Nigeria,Kebbi province,2000,Flood,Flood (General),0.0,1000.0,,Lagos,0.0,2000
2000-0754-ZAF,South Africa,Kwazulu-Natal province,2000,Flood,Flash flood,3.0,3000.0,,Durban,0.0,2000
2002-0514-ZAF,South Africa,"East London town (Buffalo City district, Eastern Cape province)",2002,Flood,Riverine flood,16.0,2500.0,,Durban,0.0,2000
2003-0146-ZAF,South Africa,"Montagu town (Langeberg area, Cape Winelands district, Western Cape province)",2003,Flood,Riverine flood,1.0,500.0,,Durban,0.0,2000
2004-0402-NGA,Nigeria,"Ughelli North, Ughelli South districts (Delta province)",2004,Flood,Riverine flood,0.0,15000.0,,Lagos,0.0,2000
2005-0423-NGA,Nigeria,"Jigawa, Bauchi, Taraba, Yobe provinces",2005,Flood,Riverine flood,60.0,3004.0,147.0,Lagos,0.147,2000
2006-0181-ZAF,South Africa,"Taung town (Greater Taung area, Dr Ruth Segomotsi Mompati district, North West province)",2006,Flood,Riverine flood,6.0,4160.0,71000.0,Durban,71.0,2000
2007-0541-NGA,Nigeria,Ogun province,2007,Flood,Flood (General),17.0,0.0,,Lagos,0.0,2000
2007-0595-NGA,Nigeria,"Ikorodu, Kosofe districts (Lagos province), Abeokuta North, Abeokuta South districts (Ogun province)",2007,Flood,Flood (General),6.0,5000.0,,Lagos,0.0,2000
2009-0108-ZAF,South Africa,KwaZulu Natal province,2009,Flood,Riverine flood,3.0,300.0,,Durban,0.0,2000
2013-0386-NGA,Nigeria,"Abia, Bauchi, Ebonyi, Edo, Gombe, Jigawa, Kano, Katsina, Kebbi, Zamfara provinces",2013,Flood,Riverine flood,19.0,81506.0,,Lagos,0.0,2010
2016-0337-NGA,Nigeria,"Gwaram, Dutse, Jahun, Ringim, Hadejia, Babura, Gumel, Malammadori, Birninkudu districts (Jigawa province)",2016,Flood,Riverine flood,18.0,12000.0,,Lagos,0.0,2010
2017-0378-NGA,Nigeria,"Benue (Makurdi), Kogi (Lokoja, Sarkin Noma suburbs, Ibaji, Igalamela-Odolu, Ajaokuta, Bassa, Koton-Karfe ) states",2017,Flood,Flood (General),0.0,10000.0,,Lagos,0.0,2010
2019-0182-ZAF,South Africa,Eastern Cape Province,2019,Flood,Flood (General),13.0,0.0,,Durban,0.0,2010
